銘柄コード,銘柄名,株価,市場
1434,ＪＥＳＣＯ,2466,スタンダード
177A,コージンＢ,1508,グロース
2334,イオレ,535,グロース
2344,平安レイ,1493,スタンダード
2489,アドウェイズ,291,スタンダード
280A,ＴＭＨ,1545,グロース
2934,ジェイフロ,1703,グロース
2962,テクニスコ,1083,スタンダード
3374,内外テック,2896,スタンダード
3544,サツドラＨＤ,882,スタンダード
3566,ユニネク,844,グロース
3634,ソケッツ,880,スタンダード
3691,デジプラ,2295,グロース
3776,ＢＢタワー,254,スタンダード
3900,クラウドＷ,622,グロース
3905,データセク,1689,グロース
4055,Ｔ＆Ｓ・Ｇ,1868,グロース
4124,大阪油化,2766,スタンダード
4192,スパイダー,340,グロース
4335,ＩＰＳＨＤ,1271,スタンダード
4427,エデュラボ,292,グロース
456A,ヒュマメイド,1516,グロース
4772,ＳＭＥＪ,103,グロース
4840,トライアイズ,915,スタンダード
5027,エニマインド,424,グロース
5250,ＧＭＯプラ,1140,スタンダード
5609,日鋳造,929,スタンダード
5698,エンビプロ,1167,スタンダード
5699,イボキン,2253,スタンダード
5884,クラダシ,521,グロース
5985,サンコール,1945,スタンダード
6156,エーワン精密,2022,スタンダード
6228,ＪＥＴ,701,スタンダード
6327,北川精機,3380,スタンダード
6336,石井表記,1291,スタンダード
6470,大豊工業,1219,スタンダード
6656,インスペック,781,スタンダード
6666,リバーエレク,1193,スタンダード
6840,ＡＫＩＢＡ,689,スタンダード
6862,ミナトＨＤ,3760,スタンダード
7162,アストマクス,378,スタンダード
7317,松屋Ｒ＆Ｄ,1101,グロース
7376,ＢＣＣ,1231,グロース
7774,Ｊティッシュ,621,グロース
9165,クオルテック,1611,グロース
9425,ＲｅＹｕｕ,353,スタンダード
