銘柄コード,銘柄名,市場,株価
1434,ＪＥＳＣＯ,スタンダード,2522
1436,グリーンエナ,グロース,1648
1447,ＳＡＡＦＨＤ,グロース,321
186A,アストロＨＤ,グロース,1838
189A,ＤＭカンパニ,グロース,961
1994,高橋ウォール,スタンダード,665
2180,サニーサイド,スタンダード,1057
2334,イオレ,グロース,572
2351,ＡＳＪ,スタンダード,455
2437,シンワワイズ,スタンダード,483
2488,ＪＴＰ,スタンダード,1334
2693,ＹＫＴ,スタンダード,355
269A,Ｓａｐｅｅｔ,グロース,2681
280A,ＴＭＨ,グロース,1749
2904,一正蒲鉾,スタンダード,769
290A,Ｓｙｎｓ,グロース,1448
3131,シンデンハイ,スタンダード,3095
332A,ミーク,グロース,1718
3374,内外テック,スタンダード,2978
3444,菊池製作,スタンダード,1460
3628,データＨＲ,グロース,500
3695,ＧＭＯ－ＰＰ,グロース,1746
3726,フォーシーズ,スタンダード,445
3744,サイオス,スタンダード,533
3776,ＢＢタワー,スタンダード,259
3791,ＩＧポート,スタンダード,1443
3810,ＣＳＨＤ,スタンダード,375
3929,Ｓワイヤー,グロース,345
3948,光ビジネス,スタンダード,940
4055,Ｔ＆Ｓ・Ｇ,グロース,2390
4316,ビーマップ,グロース,177
4422,ＶＮＸ,グロース,1082
464A,ＱＰＳＨＤ,グロース,2954
4800,オリコン,スタンダード,1089
5218,オハラ,スタンダード,1339
5243,ノート,グロース,2245
5258,ＴＭＮ,グロース,345
5381,マイポックス,スタンダード,1280
5575,グロービー,グロース,759
558A,スクイーズ,グロース,3805
5597,ブルーイノベ,グロース,2159
559A,梅乃宿酒造,スタンダード,998
5817,ＪＭＡＣＳ,スタンダード,1409
6232,ＡＣＳＬ,グロース,3165
6840,ＡＫＩＢＡ,スタンダード,837
7089,フォースタ,グロース,1538
7318,セレンＨＤ,グロース,2135
7326,ＳＢＩＩＧ,グロース,2188
7372,デコルテＨＤ,グロース,379
7376,ＢＣＣ,グロース,1200
7490,日新商,スタンダード,1675
9236,ジャパンＭＡ,グロース,1290
9256,サクシード,グロース,974
9343,アイビス,グロース,791
