銘柄コード  銘柄名          市場
142A       ジンジブ         グロース
1438       岐阜造園         スタンダード
155A       情報戦略テク      グロース
186A       アストロＨＤ      グロース
1909       日本ドライ       スタンダード
2788       アップル         スタンダード
2904       一正蒲鉾         スタンダード
300A       ＭＩＣ          スタンダード
3551       ダイニック       スタンダード
3611       マツオカ         スタンダード
366A       ウェルネス       グロース
3907       シリコンスタ      スタンダード
4040       南海化学         スタンダード
4193       ファブリカ       スタンダード
4255       ＴＨＥＣＯＯ      グロース
4320       ＣＥＨＤ        スタンダード
4351       山田債権         スタンダード
4367       広栄化学         スタンダード
4619       日特塗          スタンダード
464A       ＱＰＳＨＤ       グロース
5027       エニマインド      グロース
5029       サークレイス      グロース
5034       ウネリー         グロース
5258       ＴＭＮ          グロース
5537       アルバリンク      グロース
5589       オートサーバ      スタンダード
5884       クラダシ         グロース
5892       ユトリ          グロース
6072       地盤ＨＤ        スタンダード
6145       ＮＩＴＴＯＫ      スタンダード
6195       ホープ          グロース
6518       三相電機         スタンダード
6853       共和電          スタンダード
6863       ニレコ          スタンダード
7069       サイバーバズ      グロース
7091       リビングＰＦ      グロース
7215       ファルテック      スタンダード
7779       サイバダイン      グロース
8147       トミタ          スタンダード
9256       サクシード       グロース
9271       和心           グロース
9337       トリドリ         グロース
9344       アクシスＣ       グロース
9444       トーシンＨＤ      スタンダード
