銘柄コード,銘柄名,市場
2459,アウンコンサルティング,東S
3907,シリコンスタジオ,東S
6227,ＡＩメカテック,東S
6890,フェローテック,東S
1518,三井松島ＨＤ,東S
2354,ＹＥ ＤＩＧＩＴＡＬ,東S
2999,ホームポジション,東S
8918,ランド,東S
1407,ウエストＨＤ,東S
2345,ＨＯＤＬ１,東S
4762,エックスネット,東S
6977,日本抵抗器製作所,東S
4113,田岡化学工業,東S
6433,ヒーハイスト,東S
6493,ＮＩＴＴＡＮ,東S
6524,湖北工業,東S
4972,綜研化学,東S
2652,まんだらけ,東S
2683,魚喜,東S
2892,日本食品化工,東S
2917,大森屋,東S
3181,買取王国,東S
3277,サンセイランディック,東S
428A,サイプレス・ＨＬＤＧ,東S
4441,トビラシステムズ,東S
7305,新家工業,東S
7621,うかい,東S
4499,Ｓｐｅｅｅ,東S
2962,テクニスコ,東S
6336,石井表記,東S
6366,千代田化工建設,東S
4935,リベルタ,東S
3350,メタプラネット,東S
323A,フライヤー,東G
4894,クオリプス,東G
5242,アイズ,東G
584A,ＬｉＮＫＸ,東G
581A,ＧＯ,東G
485A,パワーエックス,東G
186A,アストロスケールＨＤ,東G
290A,Ｓｙｎｓ,東G
5246,ＥＬＥＭＥＮＴＳ,東G
296A,令和アカウンティング・ＨＤ,東G
4074,ラキール,東G
5575,Ｇｌｏｂｅｅ,東G
4564,オンコセラピー・サイエンス,東G
598A,チャットプラス,東G
9238,バリュークリエーション,東G
219A,Ｈｅａｒｔｓｅｅｄ,東G
5588,ファーストアカウンティング,東G
4572,カルナバイオサイエンス,東G
6548,旅工房,東G
3187,ミラタップ,東G
4475,ＨＥＮＮＧＥ,東G
